Province/State;Country/Region;Lat;Long;Date;Value;ISO 3166-1 Alpha 3-Codes;Region Code;Sub-region Code;Intermediate Region Code;
;Albania;411.533;201.683;20/04/2020;584;ALB;150;39;;
;Albania;411.533;201.683;19/04/2020;562;ALB;150;39;;
;Albania;411.533;201.683;18/04/2020;548;ALB;150;39;;
;Albania;411.533;201.683;17/04/2020;539;ALB;150;39;;
;Albania;411.533;201.683;16/04/2020;518;ALB;150;39;;
;Albania;411.533;201.683;15/04/2020;494;ALB;150;39;;
;Albania;411.533;201.683;14/04/2020;475;ALB;150;39;;
;Albania;411.533;201.683;13/04/2020;467;ALB;150;39;;
;Albania;411.533;201.683;12/04/2020;446;ALB;150;39;;
;Albania;411.533;201.683;11/04/2020;433;ALB;150;39;;
;Albania;411.533;201.683;10/04/2020;416;ALB;150;39;;
;Albania;411.533;201.683;09/04/2020;409;ALB;150;39;;
;Albania;411.533;201.683;08/04/2020;400;ALB;150;39;;
;Albania;411.533;201.683;07/04/2020;383;ALB;150;39;;
;Albania;411.533;201.683;06/04/2020;377;ALB;150;39;;
;Albania;411.533;201.683;05/04/2020;361;ALB;150;39;;
;Albania;411.533;201.683;04/04/2020;333;ALB;150;39;;
;Albania;411.533;201.683;03/04/2020;304;ALB;150;39;;
;Albania;411.533;201.683;02/04/2020;277;ALB;150;39;;
;Albania;411.533;201.683;01/04/2020;259;ALB;150;39;;
;Albania;411.533;201.683;31/03/2020;243;ALB;150;39;;
;Albania;411.533;201.683;30/03/2020;223;ALB;150;39;;
;Albania;411.533;201.683;29/03/2020;212;ALB;150;39;;
;Albania;411.533;201.683;28/03/2020;197;ALB;150;39;;
;Albania;411.533;201.683;27/03/2020;186;ALB;150;39;;
;Albania;411.533;201.683;26/03/2020;174;ALB;150;39;;
;Albania;411.533;201.683;25/03/2020;146;ALB;150;39;;
;Albania;411.533;201.683;24/03/2020;123;ALB;150;39;;
;Albania;411.533;201.683;23/03/2020;104;ALB;150;39;;
;Albania;411.533;201.683;22/03/2020;89;ALB;150;39;;
;Albania;411.533;201.683;21/03/2020;76;ALB;150;39;;
;Albania;411.533;201.683;20/03/2020;70;ALB;150;39;;
;Albania;411.533;201.683;19/03/2020;64;ALB;150;39;;
;Albania;411.533;201.683;18/03/2020;59;ALB;150;39;;
;Albania;411.533;201.683;17/03/2020;55;ALB;150;39;;
;Albania;411.533;201.683;16/03/2020;51;ALB;150;39;;
;Albania;411.533;201.683;15/03/2020;42;ALB;150;39;;
;Albania;411.533;201.683;14/03/2020;38;ALB;150;39;;
;Albania;411.533;201.683;13/03/2020;33;ALB;150;39;;
;Albania;411.533;201.683;12/03/2020;23;ALB;150;39;;
;Albania;411.533;201.683;11/03/2020;12;ALB;150;39;;
;Albania;411.533;201.683;10/03/2020;10;ALB;150;39;;
;Albania;411.533;201.683;09/03/2020;2;ALB;150;39;;
;Albania;411.533;201.683;08/03/2020;0;ALB;150;39;;
;Albania;411.533;201.683;07/03/2020;0;ALB;150;39;;
;Albania;411.533;201.683;06/03/2020;0;ALB;150;39;;
;Albania;411.533;201.683;05/03/2020;0;ALB;150;39;;
;Albania;411.533;201.683;04/03/2020;0;ALB;150;39;;
;Albania;411.533;201.683;03/03/2020;0;ALB;150;39;;
;Albania;411.533;201.683;02/03/2020;0;ALB;150;39;;
;Albania;411.533;201.683;01/03/2020;0;ALB;150;39;;
;Albania;411.533;201.683;29/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;28/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;27/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;26/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;25/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;24/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;23/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;22/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;21/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;20/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;19/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;18/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;17/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;16/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;15/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;14/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;13/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;12/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;11/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;10/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;09/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;08/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;07/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;06/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;05/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;04/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;03/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;02/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;01/02/2020;0;ALB;150;39;;
;Albania;411.533;201.683;31/01/2020;0;ALB;150;39;;
;Albania;411.533;201.683;30/01/2020;0;ALB;150;39;;
;Albania;411.533;201.683;29/01/2020;0;ALB;150;39;;
;Albania;411.533;201.683;28/01/2020;0;ALB;150;39;;
;Albania;411.533;201.683;27/01/2020;0;ALB;150;39;;
;Albania;411.533;201.683;26/01/2020;0;ALB;150;39;;
;Albania;411.533;201.683;25/01/2020;0;ALB;150;39;;
;Albania;411.533;201.683;24/01/2020;0;ALB;150;39;;
;Albania;411.533;201.683;23/01/2020;0;ALB;150;39;;
;Albania;411.533;201.683;22/01/2020;0;ALB;150;39;;
;Algeria;280.339;16.596;13/05/2020;6253;DZA;2;15;;
;Algeria;280.339;16.596;12/05/2020;6067;DZA;2;15;;
